cruise,date
2009/0011,2003-09-07
2009/0011,2003-09-08
2009/0011,2003-09-09
2009/0011,2003-09-10
2009/0011,2003-09-11
2009/0011,2003-09-12
2009/0011,2003-09-13
2009/0011,2003-09-14
2009/0011,2003-09-15
2009/0011,2003-09-16
2009/0011,2003-09-17
2009/0013,2003-10-21
2009/0013,2003-10-22
2009/0013,2003-10-23
2009/0013,2003-10-24
2009/0013,2003-10-25
2009/0013,2003-10-26
2009/0013,2003-10-27
2009/0013,2003-10-28
2009/0013,2003-10-30
2009/0013,2003-10-31
2009/0013,2003-11-01
2009/0013,2003-11-02
2009/0013,2003-11-04
2009/0013,2003-11-05
2009/0013,2003-11-06
2009/0013,2003-11-07
2009/0013,2003-11-09
2009/0013,2003-11-10
2009/0013,2003-11-11
2009/0013,2003-11-12
2009/0013,2003-11-13
2009/0013,2003-11-14
2009/0013,2003-11-15
2009/0013,2003-11-16
2009/0013,2003-11-18
2009/0013,2003-11-19
2009/0013,2003-11-20
2009/0013,2003-11-21
2009/0013,2003-11-22
2009/0013,2003-11-23
2009/0013,2003-11-24
2009/0013,2003-11-25
2009/0013,2003-11-26
2009/0013,2003-11-27
2009/0013,2003-11-28
2009/0013,2003-11-29
2009/0013,2003-11-30
2009/0013,2003-12-01
2009/0015,2004-01-05
2009/0015,2004-01-06
2009/0015,2004-01-07
2009/0015,2004-01-08
2009/0015,2004-01-09
2009/0015,2004-01-10
2009/0015,2004-01-11
2009/0015,2004-01-12
2009/0015,2004-01-13
2009/0015,2004-01-14
2009/0015,2004-01-15
2009/0015,2004-01-16
2009/0015,2004-01-17
2009/0015,2004-01-18
2009/0015,2004-01-19
2009/0015,2004-01-20
2009/0015,2004-01-21
2009/0015,2004-01-22
2009/0015,2004-01-23
2009/0015,2004-01-24
2009/0015,2004-01-25
2009/0015,2004-01-26
2009/0015,2004-01-27
2009/0015,2004-01-28
2009/0015,2004-01-29
2009/0015,2004-01-30
2009/0015,2004-01-31
2009/0015,2004-02-01
2009/0015,2004-02-06
2009/0015,2004-02-07
2009/0015,2004-02-08
2009/0015,2004-02-09
2009/0015,2004-02-10
2009/0015,2004-02-11
2009/0015,2004-02-12
2009/0018,2004-03-20
2009/0018,2004-03-21
2009/0018,2004-03-22
2009/0018,2004-03-23
2009/0018,2004-03-24
2009/0018,2004-03-25
2009/0018,2004-03-26
2009/0018,2004-03-27
2009/0018,2004-03-29
2009/0018,2004-03-30
2009/0018,2004-03-31
2009/0018,2004-04-01
2009/0018,2004-04-03
2009/0018,2004-04-04
2009/0018,2004-04-08
2009/0018,2004-04-09
2009/0018,2004-04-10
2009/0018,2004-04-11
2009/0018,2004-04-12
2009/0018,2004-04-13
2009/0018,2004-04-14
2009/0018,2004-04-15
2009/0018,2004-04-16
2009/0021,2004-05-08
2009/0021,2004-05-09
2009/0021,2004-05-10
2009/0021,2004-05-11
2009/0021,2004-05-12
2009/0021,2004-05-13
2009/0021,2004-05-14
2009/0021,2004-05-15
2009/0021,2004-05-16
2009/0021,2004-05-17
2009/0021,2004-05-19
2009/0021,2004-05-20
2009/0021,2004-05-21
2009/0021,2004-05-22
2009/0021,2004-05-24
2009/0021,2004-05-25
2009/0021,2004-05-26
2009/0021,2004-05-27
2009/0021,2004-05-28
2009/0022,2004-09-22
2009/0022,2004-09-23
2009/0022,2004-09-24
2009/0022,2004-09-25
2009/0022,2004-09-26
2009/0022,2004-09-27
2009/0022,2004-09-28
2009/0022,2004-09-29
2009/0022,2004-09-30
2009/0022,2004-10-01
2009/0022,2004-10-02
2009/0022,2004-10-03
2009/0022,2004-10-04
2009/0022,2004-10-05
2009/0022,2004-10-06
2009/0022,2004-10-07
2009/0022,2004-10-08
2009/0022,2004-10-09
2009/0022,2004-10-10
2009/0022,2004-10-11
2009/0022,2004-10-12
2009/0022,2004-10-13
2009/0022,2004-10-14
2009/0023,2004-10-25
2009/0023,2004-10-26
2009/0023,2004-10-27
2009/0023,2004-10-28
2009/0023,2004-10-29
2009/0023,2004-10-30
2009/0023,2004-10-31
2009/0023,2004-11-01
2009/0023,2004-11-02
2009/0023,2004-11-03
2009/0023,2004-11-06
2009/0023,2004-11-07
2009/0023,2004-11-09
2009/0023,2004-11-10
2009/0023,2004-11-11
2009/0023,2004-11-12
2009/0023,2004-11-13
2009/0023,2004-11-15
2009/0023,2004-11-16
2009/0023,2004-11-18
2009/0023,2004-11-19
2009/0023,2004-11-21
2009/0023,2004-11-22
2009/0023,2004-11-23
2009/0023,2004-11-24
2009/0023,2004-11-27
2009/0023,2004-11-28
2009/0023,2004-11-29
2009/0023,2004-12-01
2009/0023,2004-12-03
2009/0023,2004-12-05
2009/0023,2004-12-06
2010/0038,2005-01-06
2010/0038,2005-01-07
2010/0038,2005-01-08
2010/0038,2005-01-09
2010/0038,2005-01-10
2010/0038,2005-01-11
2010/0038,2005-01-12
2010/0038,2005-01-13
2010/0038,2005-01-14
2010/0038,2005-01-15
2010/0038,2005-01-16
2010/0038,2005-01-18
2010/0038,2005-01-19
2010/0038,2005-01-20
2010/0038,2005-01-21
2010/0038,2005-01-22
2010/0038,2005-01-23
2010/0038,2005-01-24
2010/0038,2005-01-25
2010/0038,2005-01-26
2010/0038,2005-01-27
2010/0038,2005-01-28
2010/0038,2005-01-29
2010/0038,2005-01-30
2010/0038,2005-01-31
2010/0038,2005-02-01
2010/0038,2005-02-02
2010/0039,2005-04-05
2010/0039,2005-04-06
2010/0039,2005-04-07
2010/0039,2005-04-08
2010/0039,2005-04-09
2010/0039,2005-04-10
2010/0039,2005-04-11
2010/0039,2005-04-12
2010/0039,2005-04-13
2010/0039,2005-04-14
2010/0039,2005-04-15
2010/0039,2005-04-16
2010/0039,2005-04-17
2010/0039,2005-04-18
2010/0039,2005-04-19
2010/0039,2005-04-20
2010/0039,2005-04-21
2010/0039,2005-04-22
2010/0039,2005-04-23
2010/0039,2005-04-24
2010/0039,2005-04-25
2010/0039,2005-04-26
2010/0039,2005-04-27
2010/0039,2005-04-28
2010/0039,2005-04-29
2010/0039,2005-05-01
2010/0039,2005-05-02
2010/0043,2005-10-21
2010/0043,2005-10-22
2010/0043,2005-10-23
2010/0043,2005-10-24
2010/0043,2005-10-25
2010/0043,2005-10-26
2010/0043,2005-10-27
2010/0043,2005-10-28
2010/0043,2005-10-29
2010/0043,2005-10-30
2010/0043,2005-10-31
2010/0043,2005-11-03
2010/0043,2005-11-04
2010/0043,2005-11-06
2010/0043,2005-11-07
2010/0043,2005-11-08
2010/0043,2005-11-09
2010/0043,2005-11-10
2010/0043,2005-11-12
2010/0043,2005-11-13
2010/0043,2005-11-16
2010/0043,2005-11-17
2010/0043,2005-11-18
2010/0043,2005-11-19
2010/0043,2005-11-23
2010/0043,2005-11-24
2010/0043,2005-11-25
2010/0043,2005-11-27
2010/0043,2005-11-28
2010/0043,2005-11-29
2010/0043,2005-11-30
2010/0043,2005-12-01
2010/0043,2005-12-02
