cruise,date
1995/0011,1990-07-19
1995/0011,1990-07-20
1995/0011,1990-07-21
1995/0011,1990-07-22
1995/0011,1990-07-23
1995/0011,1990-07-24
1995/0011,1990-07-25
1995/0011,1990-07-26
1995/0011,1990-07-27
1995/0011,1990-07-28
1995/0011,1990-07-29
1995/0011,1990-07-30
1995/0011,1990-07-31
1995/0011,1990-08-01
1995/0011,1990-08-02
1995/0011,1990-08-03
1995/0011,1990-08-04
1995/0011,1990-08-05
1995/0013,1990-01-05
1995/0013,1990-01-06
1995/0013,1990-01-07
1995/0013,1990-01-08
1995/0013,1990-01-09
1995/0013,1990-01-10
1995/0013,1990-01-11
1995/0013,1990-01-12
1995/0013,1990-01-14
1995/0013,1990-01-15
1995/0013,1990-01-16
1995/0013,1990-01-17
1995/0013,1990-01-18
1995/0013,1990-01-19
1995/0013,1990-01-20
1995/0013,1990-01-21
1995/0013,1990-01-22
1995/0013,1990-01-23
1995/0013,1990-01-24
1995/0013,1990-01-25
1995/0013,1990-01-26
1995/0013,1990-01-27
1995/0013,1990-01-28
1995/0014,1989-07-14
1995/0014,1989-07-15
1995/0014,1989-07-16
1995/0014,1989-07-17
1995/0014,1989-07-19
1995/0014,1989-07-20
1995/0014,1989-07-21
1995/0014,1989-07-22
1995/0014,1989-07-23
1995/0014,1989-07-24
1995/0014,1989-08-05
1995/0014,1989-08-06
1995/0014,1989-08-07
1995/0014,1989-08-08
1995/0014,1989-08-09
1995/0014,1989-08-10
1995/0014,1989-08-11
1995/0014,1989-08-12
1995/0014,1989-08-13
1995/0014,1989-08-14
1995/0014,1989-08-15
1995/0014,1989-08-16
1995/0015,1989-05-11
1995/0015,1989-05-12
1995/0015,1989-05-13
1995/0015,1989-05-15
1995/0015,1989-05-16
1995/0015,1989-05-17
1995/0015,1989-05-18
1995/0015,1989-05-19
1995/0015,1989-05-20
1995/0015,1989-05-21
1995/0015,1989-05-22
1995/0015,1989-05-23
1995/0015,1989-05-24
1995/0015,1989-05-25
1995/0015,1989-05-26
1995/0015,1989-05-27
1995/0015,1989-05-28
1995/0017,1988-08-02
1995/0017,1988-08-03
1995/0017,1988-08-04
1995/0017,1988-08-05
1995/0017,1988-08-06
1995/0017,1988-08-07
1995/0017,1988-08-08
1995/0017,1988-08-09
1995/0017,1988-08-10
1995/0017,1988-08-11
1995/0017,1988-08-12
1995/0017,1988-08-13
1995/0017,1988-08-14
1995/0017,1988-08-15
1995/0017,1988-08-16
1995/0017,1988-08-17
1995/0017,1988-08-18
1995/0017,1988-08-19
1995/0017,1988-08-20
1995/0017,1988-08-21
1995/0017,1988-08-22
1995/0017,1988-08-23
1995/0017,1988-08-24
1995/0017,1988-08-25
1995/0018,1988-05-11
1995/0018,1988-05-12
1995/0018,1988-05-13
1995/0018,1988-05-14
1995/0018,1988-05-15
1995/0018,1988-05-16
1995/0018,1988-05-17
1995/0018,1988-05-18
1995/0018,1988-05-19
1995/0018,1988-05-20
1995/0018,1988-05-21
1995/0018,1988-05-22
1995/0018,1988-05-23
1995/0018,1988-05-24
1995/0018,1988-05-25
1995/0018,1988-05-26
1995/0018,1988-05-27
1995/0018,1988-05-28
1995/0018,1988-05-29
1995/0018,1988-05-30
1995/0018,1988-05-31
1995/0018,1988-06-01
1995/0018,1988-06-02
1995/0018,1988-06-03
1995/0019,1987-09-09
1995/0019,1987-09-11
1995/0019,1987-09-12
1995/0019,1987-09-14
1995/0019,1987-09-15
1995/0019,1987-09-16
1995/0019,1987-09-17
1995/0019,1987-09-18
1995/0019,1987-09-19
1995/0019,1987-09-20
1995/0019,1987-09-21
1995/0019,1987-09-22
1995/0019,1987-09-24
1995/0019,1987-09-25
1995/0019,1987-09-26
1995/0019,1987-09-27
1995/0019,1987-09-28
1995/0019,1987-09-29
1995/0019,1987-09-30
1995/0019,1987-10-02
1995/0019,1987-10-03
1995/0019,1987-10-04
1995/0020,1986-07-01
1995/0020,1986-07-02
1995/0020,1986-07-03
1995/0020,1986-07-04
1995/0020,1986-07-05
1995/0020,1986-07-06
1995/0020,1986-07-07
1995/0020,1986-07-08
1995/0020,1986-07-09
1995/0020,1986-07-10
1995/0020,1986-07-11
1995/0020,1986-07-12
1995/0020,1986-07-13
1995/0020,1986-07-14
1995/0020,1986-07-15
1995/0020,1986-07-16
1995/0020,1986-07-17
1995/0020,1986-07-18
1995/0020,1986-07-19
1995/0020,1986-07-20
1995/0020,1986-07-21
1995/0020,1986-07-22
1995/0020,1986-07-23
1995/0020,1986-07-24
1995/0063,1994-03-01
1995/0063,1994-03-02
1995/0063,1994-03-03
1995/0063,1994-03-04
1995/0063,1994-03-05
1995/0063,1994-03-06
1995/0063,1994-03-07
1995/0063,1994-03-08
1995/0063,1994-03-09
1995/0071,1993-07-21
1995/0071,1993-07-22
1995/0071,1993-07-25
1996/0007,1991-10-15
1996/0007,1991-10-17
1996/0007,1991-10-19
1996/0007,1991-10-20
1996/0007,1991-10-21
1996/0007,1991-10-22
1996/0007,1991-10-23
1996/0007,1991-10-24
1996/0007,1991-10-25
1996/0007,1991-10-26
1996/0008,1992-02-07
1996/0008,1992-02-08
1996/0008,1992-02-09
1996/0008,1992-02-10
1996/0008,1992-02-11
1996/0008,1992-02-12
1996/0008,1992-02-13
1996/0008,1992-02-14
1996/0008,1992-02-15
1996/0008,1992-02-16
1996/0008,1992-02-18
1996/0008,1992-02-19
1996/0008,1992-02-20
1996/0008,1992-02-21
1996/0008,1992-02-22
1996/0008,1992-02-23
1996/0008,1992-02-24
1996/0008,1992-02-25
1996/0008,1992-02-26
1996/0008,1992-02-27
1996/0008,1992-02-28
1996/0008,1992-02-29
1996/0008,1992-03-01
1996/0008,1992-03-02
1996/0009,1992-09-03
1996/0009,1992-09-04
1996/0009,1992-09-05
1996/0009,1992-09-06
1996/0009,1992-09-07
1996/0009,1992-09-08
1996/0009,1992-09-09
1996/0009,1992-09-10
1996/0009,1992-09-11
1996/0009,1992-09-12
1996/0009,1992-09-13
1996/0009,1992-09-14
1996/0009,1992-09-15
1996/0009,1992-09-16
