Survey ID,Project,Survey,Platform,Chief Scientist,Institute,Start,End,Type,Stor,Avail,note
2009/0002,SHBML Spawner Biomass,AA171,Africana,M Roberts,Marine and Coastal Management (DEA&T),2002-10-24,2002-11-28,Hydro,Y,Y,
2009/0003,SHBML Hake Recruitment,HA173,Africana,M Roberts,Marine and Coastal Management (DEA&T),2003-01-18,2003-02-11,Hydro,Y,Y,
2009/0006,Hake Recruitment,HA177,Africana,M Roberts,Marine and Coastal Management (DEA&T),2003-04-08,2003-05-03,Hydro,Y,Y,
2009/0007,Pelagic Recruitment,RA178,Africana,M Roberts,Marine and Coastal Management (DEA&T),2003-05-15,2003-06-01,Hydro,Y,Y,
2009/0011,Hake Recruitment,HA182,Africana,M Roberts,Marine and Coastal Management (DEA&T),2003-08-26,2003-09-17,Hydro,Y,Y,
2009/0013,SHBML Spawner Biomass,AA186,Africana,M Roberts,Marine and Coastal Management (DEA&T),2003-10-21,2003-12-01,Hydro,Y,Y,
2009/0015,SHBML West Coast Demersal,HA188,Africana,M Roberts,Marine and Coastal Management (DEA&T),2004-01-05,2004-02-12,Hydro,Y,Y,
2009/0018,South Coast Demersal,HA191,Africana,M Roberts,Marine and Coastal Management (DEA&T),1999-03-20,2004-04-16,Hydro,Y,Y,
2009/0021,SHBML Pelagic Recruitment,RA194,Africana,M Roberts,Marine and Coastal Management (DEA&T),2004-05-08,2004-05-28,Hydro,Y,Y,
2009/0022,South Coast Demersal,HA200,Africana,M Roberts,Marine and Coastal Management (DEA&T),2004-09-22,2004-10-14,Hydro,Y,Y,
2009/0023,SHBML SARP Pelagic Spawner Biomass,AA201,Africana,M Roberts,Marine and Coastal Management (DEA&T),2004-10-25,2004-12-06,Hydro,Y,Y,
2009/0191,LOW oxygen/nutrient,Mossel Bay UTR,none,M Roberts,Marine and Coastal Management (DEA&T),1991-06-26,2006-12-31,UTR,Y,N,
2009/0201,LOW oxygen/nutrient,Ystervark Punt UTR,none,M Roberts,Marine and Coastal Management (DEA&T),1995-10-23,2010-11-18,UTR,Y,N,
2010/0038,West Coast Demersal,HA203,Africana,M Roberts,Marine and Coastal Management (DEA&T),2005-01-06,2005-02-02,Hydro,Y,Y,
2010/0039,SHBML SARP South Coast Demersal,HA206,Africana,M Roberts,Marine and Coastal Management (DEA&T),2005-04-05,2005-05-02,Hydro,Y,Y,
2010/0043,SHBML SARP Pelagic Spawner Biomass,AA212,Africana,M Roberts,Marine and Coastal Management (DEA&T),2005-10-21,2005-12-02,Hydro,Y,Y,
